"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,";"buzzardLabel";21;"";;;
2;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
3;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
4;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
5;"G***";"Symbol-Front-Air-Quality";1;"LOGO";;;
6;"R1,R3";"0603R";2;"10k";;;
7;"U1";"MQ";1;"MQ-X";;;
8;"D1";"0402LED";1;"purple";;;
9;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
10;"R2";"tc33x-2-103e";1;"TC33X-2-103E";;;
11;"C1,C2";"0603C";2;"0.1uF";;;
12;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
13;"R4";"0402R";1;"2k2";;;
14;"K1";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
15;"U2";"SOIC−8";1;"LM393";;;
